id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,cc_0_1,cc_0_2,cc_0_3,cc_1_2,cc_1_3,cc_2_3,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,3,1787861851.765487,0.631831,0.024881,-0.159656,0.238664,0.249368,0.212988,0.164509,0.268614,0.075868,0.000000,0.083673,0.000000,0.109073,0.000000,0.164519,0.034579,0.000000,3.000000,0.000308,0.093756,-0.092030;-0.017910
0,1,1787861851.865306,0.632656,0.025299,-0.159757,0.238544,0.249226,0.212541,0.164191,0.268691,0.075995,0.000000,0.083592,0.000000,0.109105,0.000000,0.164532,0.034336,0.000000,3.000000,0.000931,0.106627,0.103280;0.026265;0.003557
1,3,1787861852.064213,0.631935,0.025168,-0.160234,0.238552,0.249222,0.212588,0.164212,0.268048,0.076020,0.000000,0.081753,0.000000,0.110275,0.000000,0.164256,0.034350,0.000000,3.000000,0.000875,0.141001,0.117516;0.077918
0,1,1787861852.464603,0.632773,0.025558,-0.160244,0.238562,0.249092,0.212303,0.164031,0.268138,0.076141,0.000000,0.081717,0.000000,0.110280,0.000000,0.164358,0.034168,0.000000,3.000000,0.000924,0.110647,0.106243;0.028518;0.011912
0,3,1787861852.566056,0.632476,0.025508,-0.160471,0.238544,0.249092,0.212291,0.164017,0.269657,0.076150,0.000000,0.083798,0.000000,0.109709,0.000000,0.164031,0.034163,0.000000,3.000000,0.000377,0.101702,-0.099387;-0.021574
1,3,1787861852.863951,0.632045,0.025490,-0.160828,0.238583,0.249092,0.212345,0.164059,0.267600,0.076162,0.000000,0.081342,0.000000,0.110096,0.000000,0.164078,0.034179,0.000000,3.000000,0.000561,0.132420,0.110990;0.072224
0,1,1787861852.965368,0.632953,0.025927,-0.160870,0.238475,0.248966,0.211939,0.163773,0.267687,0.076278,0.000000,0.081312,0.000000,0.110097,0.000000,0.164083,0.033959,0.000000,3.000000,0.001008,0.123467,0.118695;0.032224;0.010823
0,3,1787861853.064940,0.632644,0.025885,-0.161118,0.238466,0.248966,0.211935,0.163766,0.269154,0.076285,0.000000,0.083130,0.000000,0.109739,0.000000,0.163780,0.033956,0.000000,3.000000,0.000398,0.108948,-0.106298;-0.023879
1,3,1787861853.263832,0.632246,0.025860,-0.161445,0.238496,0.248967,0.211978,0.163799,0.267811,0.076299,0.000000,0.081383,0.000000,0.110129,0.000000,0.163816,0.033968,0.000000,3.000000,0.000516,0.125817,0.105759;0.068153
0,1,1787861853.365464,0.633005,0.026128,-0.161232,0.238371,0.248847,0.211564,0.163505,0.267892,0.076408,0.000000,0.081352,0.000000,0.110131,0.000000,0.163799,0.033751,0.000000,3.000000,0.000832,0.107755,0.100017;0.026497;0.030093
0,3,1787861853.464714,0.632680,0.026090,-0.161497,0.238383,0.248847,0.211585,0.163519,0.269055,0.076416,0.000000,0.082766,0.000000,0.109873,0.000000,0.163532,0.033756,0.000000,3.000000,0.000421,0.117951,-0.115387;-0.024460
