id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,3,1787690738.389247,-0.380334,-0.471934,0.146184,0.240141,0.248930,0.205528,0.161876,0.317927,0.161876,0.029602,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690738.491350,-0.380334,-0.471934,0.146184,0.240223,0.248932,0.205626,0.161956,0.317927,0.161956,0.029632,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
2,1,1787690738.591994,-0.376790,-0.483806,0.150197,0.236892,0.245713,0.202700,0.157580,0.330179,0.161976,0.028652,0.000000,3.000000,0.013024,0.309784,0.068054;-0.224360;0.202478
2,3,1787690738.689327,-0.376790,-0.483806,0.150197,0.236892,0.245713,0.202700,0.157580,0.330179,0.157580,0.028652,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690738.791274,-0.371472,-0.484088,0.142869,0.236109,0.245535,0.200372,0.156184,0.330286,0.157660,0.027914,0.000000,3.000000,0.009059,0.382836,-0.301027;0.235994;0.015899
0,3,1787690738.891293,-0.371472,-0.484088,0.142869,0.236109,0.245535,0.200372,0.156184,0.330286,0.156184,0.027914,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690738.990920,-0.371472,-0.484088,0.142869,0.236192,0.245537,0.200472,0.156264,0.330286,0.156264,0.027944,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
2,1,1787690739.089096,-0.373798,-0.493946,0.144255,0.233990,0.243014,0.198368,0.153157,0.337519,0.156284,0.027339,0.000000,3.000000,0.010223,0.337475,-0.088863;-0.320347;0.058058
2,3,1787690739.191203,-0.373798,-0.493946,0.144255,0.233990,0.243014,0.198368,0.153157,0.337519,0.153157,0.027339,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690739.290529,-0.369157,-0.491971,0.145244,0.233245,0.242822,0.196416,0.151945,0.337692,0.153237,0.026716,0.000000,3.000000,0.005140,0.269758,-0.235945;-0.107309;0.074725
0,3,1787690739.390709,-0.369157,-0.491971,0.145244,0.233245,0.242822,0.196416,0.151945,0.337692,0.151945,0.026716,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690739.491247,-0.369157,-0.491971,0.145244,0.233329,0.242824,0.196518,0.152025,0.337692,0.152025,0.026747,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
2,3,1787690739.591772,-0.369157,-0.491971,0.145244,0.233329,0.242824,0.196518,0.152025,0.337692,0.152025,0.026747,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690739.691949,-0.362385,-0.491180,0.147536,0.232641,0.242659,0.194735,0.150927,0.337896,0.152105,0.026191,0.000000,3.000000,0.007193,0.363091,-0.341087;-0.067678;-0.104473
0,3,1787690739.790214,-0.362385,-0.491180,0.147536,0.232641,0.242659,0.194735,0.150927,0.337896,0.150927,0.026191,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690739.891134,-0.362385,-0.491180,0.147536,0.232725,0.242661,0.194838,0.151007,0.337896,0.151007,0.026223,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
2,3,1787690739.991385,-0.362385,-0.491180,0.147536,0.232746,0.242661,0.194864,0.151027,0.337896,0.151027,0.026230,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690740.091269,-0.355057,-0.491245,0.142899,0.232024,0.242526,0.193013,0.149908,0.338101,0.151027,0.025678,0.000000,3.000000,0.008672,0.480804,-0.430212;0.201752;-0.073391
0,3,1787690740.191090,-0.355057,-0.491245,0.142899,0.232108,0.242528,0.193116,0.149988,0.338101,0.149988,0.025709,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690740.291024,-0.355057,-0.491245,0.142899,0.232108,0.242528,0.193116,0.149988,0.338101,0.149988,0.025709,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690740.390720,-0.350235,-0.491649,0.138453,0.231528,0.242394,0.191713,0.149114,0.338326,0.150068,0.025283,0.000000,3.000000,0.006571,0.373055,-0.303211;0.210175;-0.055319
0,3,1787690740.490628,-0.350235,-0.491649,0.138453,0.231528,0.242394,0.191713,0.149114,0.338326,0.149114,0.025283,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690740.590995,-0.350235,-0.491649,0.138453,0.231613,0.242396,0.191818,0.149194,0.338326,0.149194,0.025314,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690740.691184,-0.345803,-0.492058,0.133723,0.231002,0.242260,0.190565,0.148367,0.338547,0.149194,0.024928,0.000000,3.000000,0.006494,0.376575,-0.295519;0.230959;-0.033697
0,3,1787690740.790436,-0.345803,-0.492058,0.133723,0.231087,0.242262,0.190670,0.148447,0.338547,0.148447,0.024959,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690740.891016,-0.345803,-0.492058,0.133723,0.231087,0.242262,0.190670,0.148447,0.338547,0.148447,0.024959,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690740.991319,-0.341395,-0.492654,0.126707,0.230599,0.242145,0.189557,0.147742,0.338771,0.148527,0.024625,0.000000,3.000000,0.008308,0.475257,-0.325912;0.344209;-0.034208
0,3,1787690741.090633,-0.341395,-0.492654,0.126707,0.230599,0.242145,0.189557,0.147742,0.338771,0.147742,0.024625,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690741.192691,-0.341830,-0.492710,0.129344,0.230686,0.242178,0.189661,0.147837,0.338764,0.147837,0.024647,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
2,3,1787690741.291290,-0.341860,-0.492714,0.129525,0.230688,0.242181,0.189664,0.147841,0.338764,0.147841,0.024648,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690741.391125,-0.336809,-0.492973,0.121384,0.230196,0.242068,0.188614,0.147162,0.338962,0.147879,0.024334,0.000000,3.000000,0.009584,0.554167,-0.391884;0.391792;0.005230
0,3,1787690741.491375,-0.336809,-0.492973,0.121384,0.230196,0.242068,0.188614,0.147162,0.338962,0.147162,0.024334,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690741.591198,-0.336809,-0.492973,0.121384,0.230281,0.242069,0.188720,0.147242,0.338962,0.147242,0.024365,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690741.690576,-0.331486,-0.493275,0.113560,0.229790,0.241956,0.187788,0.146611,0.339156,0.147242,0.024082,0.000000,3.000000,0.009468,0.584087,-0.423746;0.401954;-0.005389
0,3,1787690741.791059,-0.331486,-0.493275,0.113560,0.229876,0.241957,0.187894,0.146691,0.339156,0.146691,0.024113,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690741.891537,-0.331486,-0.493275,0.113560,0.229876,0.241957,0.187894,0.146691,0.339156,0.146691,0.024113,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690741.991284,-0.326444,-0.493464,0.106327,0.229502,0.241848,0.187156,0.146189,0.339340,0.146770,0.023887,0.000000,3.000000,0.008820,0.563248,-0.415845;0.379882;-0.003334
0,3,1787690742.091234,-0.326444,-0.493464,0.106327,0.229502,0.241848,0.187156,0.146189,0.339340,0.146189,0.023887,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690742.191667,-0.326444,-0.493464,0.106327,0.229588,0.241849,0.187262,0.146269,0.339340,0.146269,0.023919,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
2,3,1787690742.290875,-0.326444,-0.493464,0.106327,0.229610,0.241849,0.187289,0.146289,0.339340,0.146289,0.023927,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
